 all D ~ (p/mc)^2/t (sec^-1)
 E(MeV)=  0.1000
  alpha0   Daa         Dap         Dpp
  10.00  0.3492E-04  0.3597E-05  0.4155E-06
  11.00  0.3530E-04  0.3987E-05  0.5061E-06
  12.00  0.3569E-04  0.4384E-05  0.6066E-06
  13.00  0.3610E-04  0.4787E-05  0.7166E-06
  14.00  0.3653E-04  0.5194E-05  0.8362E-06
  15.00  0.3697E-04  0.5612E-05  0.9658E-06
  16.00  0.3744E-04  0.6034E-05  0.1106E-05
  17.00  0.3791E-04  0.6458E-05  0.1256E-05
  18.00  0.3842E-04  0.6891E-05  0.1416E-05
  19.00  0.3894E-04  0.7330E-05  0.1591E-05
  20.00  0.3948E-04  0.7772E-05  0.1783E-05
  21.00  0.4004E-04  0.8219E-05  0.1979E-05
  22.00  0.4062E-04  0.8675E-05  0.2176E-05
  23.00  0.4122E-04  0.9138E-05  0.2381E-05
  24.00  0.4184E-04  0.9607E-05  0.2598E-05
  25.00  0.4249E-04  0.1008E-04  0.2824E-05
  26.00  0.4316E-04  0.1055E-04  0.3064E-05
  27.00  0.4386E-04  0.1103E-04  0.3313E-05
  28.00  0.4458E-04  0.1151E-04  0.3571E-05
  29.00  0.4532E-04  0.1199E-04  0.3838E-05
  30.00  0.4609E-04  0.1248E-04  0.4114E-05
  31.00  0.4688E-04  0.1296E-04  0.4397E-05
  32.00  0.4771E-04  0.1344E-04  0.4688E-05
  33.00  0.4855E-04  0.1392E-04  0.4986E-05
  34.00  0.4944E-04  0.1439E-04  0.5288E-05
  35.00  0.5034E-04  0.1487E-04  0.5600E-05
  36.00  0.5128E-04  0.1533E-04  0.5909E-05
  37.00  0.5225E-04  0.1580E-04  0.6221E-05
  38.00  0.5325E-04  0.1625E-04  0.6529E-05
  39.00  0.5428E-04  0.1669E-04  0.6860E-05
  40.00  0.5533E-04  0.1713E-04  0.7156E-05
  41.00  0.5641E-04  0.1757E-04  0.7443E-05
  42.00  0.5753E-04  0.1796E-04  0.7782E-05
  43.00  0.5866E-04  0.1837E-04  0.8068E-05
  44.00  0.5974E-04  0.1882E-04  0.8281E-05
  45.00  0.6087E-04  0.1918E-04  0.8560E-05
  46.00  0.6198E-04  0.1953E-04  0.8818E-05
  47.00  0.6320E-04  0.1968E-04  0.9196E-05
  48.00  0.6406E-04  0.2002E-04  0.9332E-05
  49.00  0.6514E-04  0.1993E-04  0.9738E-05
  50.00  0.6529E-04  0.2035E-04  0.9570E-05
  51.00  0.6599E-04  0.1990E-04  0.9940E-05
  52.00  0.6559E-04  0.1981E-04  0.9744E-05
  53.00  0.6487E-04  0.1927E-04  0.9557E-05
  54.00  0.6383E-04  0.1821E-04  0.9303E-05
  55.00  0.6162E-04  0.1720E-04  0.8455E-05
  56.00  0.5903E-04  0.1584E-04  0.7290E-05
  57.00  0.5659E-04  0.1437E-04  0.5824E-05
  58.00  0.5589E-04  0.1285E-04  0.4640E-05
  59.00  0.5631E-04  0.1280E-04  0.3862E-05
  60.00  0.5747E-04  0.1301E-04  0.3968E-05
  61.00  0.5857E-04  0.1340E-04  0.3989E-05
  62.00  0.6001E-04  0.1360E-04  0.4112E-05
  63.00  0.6169E-04  0.1367E-04  0.4285E-05
  64.00  0.6302E-04  0.1386E-04  0.4372E-05
  65.00  0.6459E-04  0.1385E-04  0.4523E-05
  66.00  0.6527E-04  0.1411E-04  0.4502E-05
  67.00  0.6519E-04  0.1451E-04  0.4378E-05
  68.00  0.6703E-04  0.1390E-04  0.4608E-05
  69.00  0.6824E-04  0.1349E-04  0.4707E-05
  70.00  0.6687E-04  0.1387E-04  0.4484E-05
  71.00  0.6767E-04  0.1316E-04  0.4581E-05
  72.00  0.6592E-04  0.1298E-04  0.4395E-05
  73.00  0.6884E-04  0.1100E-04  0.4677E-05
  74.00  0.6865E-04  0.9683E-05  0.4606E-05
  75.00  0.7132E-04  0.7308E-05  0.4694E-05
  76.00  0.9875E-04 -0.1393E-05  0.6208E-05
  77.00  0.5725E-04  0.6659E-05  0.3486E-05
  78.00  0.4111E-04  0.7734E-05  0.2525E-05
  79.00  0.3162E-04  0.6983E-05  0.1968E-05
  80.00  0.2424E-04  0.5712E-05  0.1523E-05
  81.00  0.1792E-04  0.4338E-05  0.1129E-05
  82.00  0.1247E-04  0.3055E-05  0.7839E-06
  83.00  0.7990E-05  0.1969E-05  0.4993E-06
  84.00  0.4601E-05  0.1136E-05  0.2839E-06
  85.00  0.2325E-05  0.5652E-06  0.1386E-06
  86.00  0.9751E-06  0.2277E-06  0.5357E-07
  87.00  0.1879E-06  0.3665E-07  0.7233E-08
  88.00  0.1514E-07  0.2179E-08  0.3141E-09
  89.00  0.0000E+00  0.0000E+00  0.0000E+00
 E(MeV)=  0.1385
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.3280E-04  0.1752E-05  0.1039E-06
   6.00  0.3310E-04  0.2119E-05  0.1507E-06
   7.00  0.3341E-04  0.2491E-05  0.2066E-06
   8.00  0.3374E-04  0.2869E-05  0.2717E-06
   9.00  0.3408E-04  0.3252E-05  0.3462E-06
  10.00  0.3443E-04  0.3642E-05  0.4304E-06
  11.00  0.3480E-04  0.4036E-05  0.5241E-06
  12.00  0.3518E-04  0.4437E-05  0.6280E-06
  13.00  0.3557E-04  0.4844E-05  0.7420E-06
  14.00  0.3599E-04  0.5257E-05  0.8659E-06
  15.00  0.3642E-04  0.5675E-05  0.1000E-05
  16.00  0.3687E-04  0.6099E-05  0.1145E-05
  17.00  0.3733E-04  0.6531E-05  0.1300E-05
